id,lat,long,misc
1,0,-10,0010N                    
2,0,-15,0015N                    
3,0,-16,N00 W016                 
4,0,-20,N00 00 W020 00           
5,0,45,N00 00 0 E045 00 0       
6,0,46,N00 00 0 E046 00 0       
7,0,48,N00 00 E 048 00          
8,0,51,N00 00 E051 00           
9,0,54,N00 00 0 E054 00 0       
10,0,57,N00 00 E057 00           
11,0,60,N00 00 E060 00           
12,0.03333333333,-7.333333333,00A07                    
13,0.3833333333,23.65,KGI/267.9/D100.0         
14,0,1.193333333,00N1E                    
15,0.1666666667,30.76666667,00NN                     
16,0,3.833333333,00NS                     
17,1,0,N010 00 E00 00           
18,-1,0,S010 00 E000 00          
19,1,-10,N01 00 W010 00           
20,-1,-10,S01 00 W010 00           
21,1,-20,N01 00 W020 00           
22,2,0,N02 00 E000 00           
23,-2,0,S02 00 E000 00           
24,-2,-5,0205W                    
25,2,-10,N02 00 W010 00           
26,-2,10,0210S                    
27,-2,-10,S02 00 W010 00           
28,2,-20,N02 00 W020 00           
29,-2,-20,S02 00 W020 00           
30,3,0,N03 00 E000 00           
31,-3,0,S03 00 E000 00           
32,3,-10,N03 00 0 W010 00 0       
33,-3,-10,S03 00 W010 00           
34,3,-20,N03 00 W020 00           
35,-3,-20,S03 00 W020 00           
36,-3,42,S03 00 E042 00           
37,-3,45,S03 00 E045 00           
38,3,48,N03 00 0 E048 00 0       
39,-3,48,S03 00 E048 00           
40,3,51,N03 00 E051 00           
41,-3,51,S03 00 E051 00           
42,3,54,N03 00 E054 00           
43,-3,54,S03 00 E054 00           
44,3,57,N03 00 E057 00           
45,-3,57,S03 00 E057 00           
46,3,60,N03 00 E060 00           
47,-3,60,S03 00 E060 00           
48,-4,0,S04 00 E000 00           
49,4,-10,N04 00 0 W010 00 0       
50,-4,-10,S04 00 W010 00           
51,4,-20,N04 00 W020 00           
52,4,38,N04 00 E038 00           
53,4,39,N04 00 E039 00           
54,4,54,N04 00 0 E054 00 0       
55,5,0,0500E                    
56,-5,0,S05 00 E000 00           
57,5,4,N05 00 0 E004 00 0       
58,-5,4,0504S                    
59,-5,5,S05 00 E005 00           
60,-5,-5,S05 00 W005 00           
61,5,7,N0500 E007 00            
62,-5,7,0507S                    
63,5,-10,N05 00 0 W010 00 0       
64,-5,10,S05 00 E010 00           
65,-5,-10,S05 00 W010 00           
66,5,-15,N05 00 W015 00           
67,-5,-15,S05 00 W015 00           
68,5,-17,N05 W017                 
69,5,-20,N05 00 W020 00           
70,5,-25,N05 00 W025 00           
71,5,-26,0526N                    
72,5,-28,0528N                    
73,5,-29,0529N                    
74,5,-30,N05 00 W030 00           
75,5,-31,0531N                    
76,-5,38,S05 00 E038 00           
