,id,lat,long,misc,FIR
0,1,0.0,-10.0,0010N                    ,GOOO
1,2,0.0,-15.0,0015N                    ,GOOO
2,3,0.0,-16.0,N00 W016                 ,GOOO
3,4,0.0,-20.0,N00 00 W020 00           ,GOOO
11,12,0.03333333333,-7.333333333,00A07                    ,GOOO
18,19,1.0,-10.0,N01 00 W010 00           ,GOOO
19,20,-1.0,-10.0,S01 00 W010 00           ,GOOO
20,21,1.0,-20.0,N01 00 W020 00           ,GOOO
23,24,-2.0,-5.0,0205W                    ,GOOO
24,25,2.0,-10.0,N02 00 W010 00           ,GOOO
26,27,-2.0,-10.0,S02 00 W010 00           ,GOOO
27,28,2.0,-20.0,N02 00 W020 00           ,GOOO
28,29,-2.0,-20.0,S02 00 W020 00           ,GOOO
31,32,3.0,-10.0,N03 00 0 W010 00 0       ,GOOO
32,33,-3.0,-10.0,S03 00 W010 00           ,GOOO
33,34,3.0,-20.0,N03 00 W020 00           ,GOOO
34,35,-3.0,-20.0,S03 00 W020 00           ,GOOO
48,49,4.0,-10.0,N04 00 0 W010 00 0       ,GOOO
49,50,-4.0,-10.0,S04 00 W010 00           ,GOOO
50,51,4.0,-20.0,N04 00 W020 00           ,GOOO
59,60,-5.0,-5.0,S05 00 W005 00           ,GOOO
62,63,5.0,-10.0,N05 00 0 W010 00 0       ,GOOO
64,65,-5.0,-10.0,S05 00 W010 00           ,GOOO
65,66,5.0,-15.0,N05 00 W015 00           ,GOOO
66,67,-5.0,-15.0,S05 00 W015 00           ,GOOO
67,68,5.0,-17.0,N05 W017                 ,GOOO
68,69,5.0,-20.0,N05 00 W020 00           ,GOOO
69,70,5.0,-25.0,N05 00 W025 00           ,GOOO
70,71,5.0,-26.0,0526N                    ,GOOO
71,72,5.0,-28.0,0528N                    ,GOOO
72,73,5.0,-29.0,0529N                    ,GOOO
73,74,5.0,-30.0,N05 00 W030 00           ,GOOO
74,75,5.0,-31.0,0531N                    ,GOOO
81,82,-6.0,-10.0,S06 00 W010 00           ,GOOO
82,83,6.0,-20.0,N06 00 W020 00           ,GOOO
83,84,6.0,-30.0,N06 00 W030 00           ,GOOO
91,92,-7.0,-10.0,S07 00 W010 00           ,GOOO
92,93,7.0,-20.0,N07 00 W020 00           ,GOOO
93,94,7.0,-30.0,N07 00 W030 00           ,GOOO
96,97,-8.0,-10.0,S08 00 W010 00           ,GOOO
97,98,8.0,-20.0,N08 00 W020 00           ,GOOO
98,99,8.0,-30.0,N08 00 W030 00           ,GOOO
99,100,8.0,-35.0,0835N                    ,GOOO
104,105,-9.0,-10.0,S09 00 W010 00           ,GOOO
105,106,9.0,-20.0,N09 00 W020 00           ,GOOO
106,107,9.0,-30.0,N09 00 W030 00           ,GOOO
121,122,-10.0,-5.0,S10 00 W005 00           ,GOOO
125,126,-10.0,-10.0,S10 00 W010 00           ,GOOO
126,127,10.0,-16.0,1016N                    ,GOOO
127,128,10.0,-18.0,N10 W018                 ,GOOO
128,129,10.0,-20.0,N10 00 W020 00           ,GOOO
129,130,10.0,-25.0,1025N                    ,GOOO
130,131,10.0,-26.0,1026N                    ,GOOO
131,132,10.0,-27.0,1027N                    ,GOOO
